feature,importance
price_per_bathroom,0.725818670152857
bathrooms,0.2702459789931628
total_rooms,0.0022669851303328253
square_feet,0.0008752396604994346
price_per_bedroom,0.0005113447064568251
amenities_encoded,0.00010285558705557103
sqft_per_room,4.9144563861375494e-05
cityname_encoded,4.7252751570754193e-05
price_per_sqft,3.252433594697176e-05
longitude,2.001338982758418e-05
bedrooms,1.5490330924500367e-05
latitude,7.28020227062132e-06
state_encoded,4.783509348757631e-06
pets_allowed,2.3958561136465523e-06
has_photo,4.08297714578715e-08
price_type_encoded,0.0
